Solver_Var,Solver_Value
"S[0,0,2,1]",11.0
"S[0,0,2,2]",0.0
"S[0,0,2,3]",0.0
"S[0,0,2,4]",0.0
"S[0,0,3,1]",2.0
"S[0,0,3,2]",0.0
"S[0,0,3,3]",0.0
"S[0,0,3,4]",0.0
"S[0,1,0,1]",0.0
"S[0,1,0,2]",0.0
"S[0,1,0,3]",0.0
"S[0,1,0,4]",0.0
"S[0,1,1,1]",0.0
"S[0,1,1,2]",0.0
"S[0,1,1,3]",0.0
"S[0,1,1,4]",0.0
"S[0,1,2,1]",0.0
"S[0,1,2,2]",0.0
"S[0,1,2,3]",0.0
"S[0,1,2,4]",0.0
"S[0,1,3,1]",0.0
"S[0,1,3,2]",0.0
"S[0,1,3,3]",0.0
"S[0,1,3,4]",0.0
"S[0,2,0,1]",0.0
"S[0,2,0,2]",0.0
"S[0,2,0,3]",0.0
"S[0,2,0,4]",0.0
"S[0,2,1,1]",0.0
"S[0,2,1,2]",0.0
"S[0,2,1,3]",0.0
"S[0,2,1,4]",0.0
"S[0,2,2,1]",0.0
"S[0,2,2,2]",0.0
"S[0,2,2,3]",0.0
"S[0,2,2,4]",0.0
"S[0,2,3,1]",0.0
"S[0,2,3,2]",0.0
"S[0,2,3,3]",0.0
"S[0,2,3,4]",0.0
"S[0,3,0,1]",0.0
"S[0,3,0,2]",0.0
"S[0,3,0,3]",0.0
"S[0,3,0,4]",0.0
"S[0,3,1,1]",0.0
"S[0,3,1,2]",0.0
"S[0,3,1,3]",0.0
"S[0,3,1,4]",0.0
"S[0,3,2,1]",0.0
"S[0,3,2,2]",0.0
"S[0,3,2,3]",0.0
"S[0,3,2,4]",0.0
"S[0,3,3,1]",0.0
"S[0,3,3,2]",0.0
"S[0,3,3,3]",0.0
"S[0,3,3,4]",0.0
"S[0,4,0,1]",0.0
"S[0,4,0,2]",0.0
"S[0,4,0,3]",0.0
"S[0,4,0,4]",0.0
"S[0,4,1,1]",0.0
"S[0,4,1,2]",0.0
"S[0,4,1,3]",0.0
"S[0,4,1,4]",0.0
"S[0,4,2,1]",0.0
"S[0,4,2,2]",0.0
"S[0,4,2,3]",0.0
"S[0,4,2,4]",0.0
"S[0,4,3,1]",0.0
"S[0,4,3,2]",0.0
"S[0,4,3,3]",0.0
"S[0,4,3,4]",0.0
"S[0,5,0,1]",0.0
"S[0,5,0,2]",0.0
"S[0,5,0,3]",0.0
"S[0,5,0,4]",0.0
"S[0,5,1,1]",0.0
"S[0,5,1,2]",0.0
"S[0,5,1,3]",0.0
"S[0,5,1,4]",0.0
"S[0,5,2,1]",0.0
"S[0,5,2,2]",0.0
"S[0,5,2,3]",0.0
"S[0,5,2,4]",0.0
"S[0,5,3,1]",0.0
"S[0,5,3,2]",0.0
"S[0,5,3,3]",0.0
"S[0,5,3,4]",0.0
"S[0,6,0,1]",0.0
"S[0,6,0,2]",0.0
"S[0,6,0,3]",0.0
"S[0,6,0,4]",0.0
"S[0,6,1,1]",0.0
"S[0,6,1,2]",0.0
"S[0,6,1,3]",0.0
"S[0,6,1,4]",0.0
"S[0,6,2,1]",0.0
"S[0,6,2,2]",0.0
"S[0,6,2,3]",0.0
"S[0,6,2,4]",0.0
"S[0,6,3,1]",0.0
"S[0,6,3,2]",0.0
"S[0,6,3,3]",0.0
"S[0,6,3,4]",0.0
"S[0,7,0,1]",0.0
"S[0,7,0,2]",0.0
"S[0,7,0,3]",0.0
"S[0,7,0,4]",0.0
"S[0,7,1,1]",0.0
"S[0,7,1,2]",0.0
"S[0,7,1,3]",0.0
"S[0,7,1,4]",0.0
"S[0,7,2,1]",0.0
"S[0,7,2,2]",0.0
"S[0,7,2,3]",0.0
"S[0,7,2,4]",0.0
"S[0,7,3,1]",0.0
"S[0,7,3,2]",0.0
"S[0,7,3,3]",0.0
"S[0,7,3,4]",0.0
"S[0,8,0,1]",0.0
"S[0,8,0,2]",0.0
"S[0,8,0,3]",0.0
"S[0,8,0,4]",0.0
"S[0,8,1,1]",0.0
"S[0,8,1,2]",0.0
"S[0,8,1,3]",0.0
"S[0,8,1,4]",0.0
"S[0,8,2,1]",0.0
"S[0,8,2,2]",0.0
"S[0,8,2,3]",0.0
"S[0,8,2,4]",0.0
"S[0,8,3,1]",0.0
"S[0,8,3,2]",0.0
"S[0,8,3,3]",0.0
"S[0,8,3,4]",0.0
"S[0,9,0,1]",0.0
"S[0,9,0,2]",0.0
"S[0,9,0,3]",0.0
"S[0,9,0,4]",0.0
"S[0,9,1,1]",0.0
"S[0,9,1,2]",0.0
"S[0,9,1,3]",0.0
"S[0,9,1,4]",0.0
"S[0,9,2,1]",0.0
"S[0,9,2,2]",0.0
"S[0,9,2,3]",0.0
"S[0,9,2,4]",0.0
"S[0,9,3,1]",0.0
"S[0,9,3,2]",0.0
"S[0,9,3,3]",0.0
"S[0,9,3,4]",0.0
"S[0,10,0,1]",0.0
"S[0,10,0,2]",0.0
"S[0,10,0,3]",0.0
"S[0,10,0,4]",0.0
"S[0,10,1,1]",0.0
"S[0,10,1,2]",0.0
"S[0,10,1,3]",0.0
"S[0,10,1,4]",0.0
"S[0,10,2,1]",0.0
"S[0,10,2,2]",0.0
"S[0,10,2,3]",0.0
"S[0,10,2,4]",0.0
"S[0,10,3,1]",0.0
"S[0,10,3,2]",0.0
"S[0,10,3,3]",0.0
"S[0,10,3,4]",0.0
"S[0,11,0,1]",0.0
"S[0,11,0,2]",0.0
"S[0,11,0,3]",0.0
"S[0,11,0,4]",0.0
"S[0,11,1,1]",0.0
"S[0,11,1,2]",0.0
"S[0,11,1,3]",0.0
"S[0,11,1,4]",0.0
"S[0,11,2,1]",0.0
"S[0,11,2,2]",0.0
"S[0,11,2,3]",0.0
"S[0,11,2,4]",0.0
"S[0,11,3,1]",0.0
"S[0,11,3,2]",0.0
"S[0,11,3,3]",0.0
"S[0,11,3,4]",0.0
"S[0,12,0,1]",0.0
"S[0,12,0,2]",0.0
"S[0,12,0,3]",0.0
"S[0,12,0,4]",0.0
"S[0,12,1,1]",0.0
"S[0,12,1,2]",0.0
"S[0,12,1,3]",0.0
"S[0,12,1,4]",0.0
"S[0,12,2,1]",0.0
"S[0,12,2,2]",0.0
"S[0,12,2,3]",0.0
"S[0,12,2,4]",0.0
"S[0,12,3,1]",0.0
"S[0,12,3,2]",0.0
"S[0,12,3,3]",0.0
"S[0,12,3,4]",0.0
"S[0,13,0,1]",0.0
"S[0,13,0,2]",0.0
"S[0,13,0,3]",0.0
"S[0,13,0,4]",0.0
"S[0,13,1,1]",0.0
"S[0,13,1,2]",0.0
"S[0,13,1,3]",0.0
"S[0,13,1,4]",0.0
"S[0,13,2,1]",0.0
"S[0,13,2,2]",0.0
"S[0,13,2,3]",0.0
"S[0,13,2,4]",0.0
"S[0,13,3,1]",0.0
"S[0,13,3,2]",0.0
"S[0,13,3,3]",0.0
"S[0,13,3,4]",0.0
"S[0,14,0,1]",0.0
"S[0,14,0,2]",0.0
"S[0,14,0,3]",0.0
"S[0,14,0,4]",0.0
"S[0,14,1,1]",0.0
"S[0,14,1,2]",0.0
"S[0,14,1,3]",0.0
"S[0,14,1,4]",0.0
"S[0,14,2,1]",0.0
"S[0,14,2,2]",0.0
"S[0,14,2,3]",0.0
"S[0,14,2,4]",0.0
"S[0,14,3,1]",0.0
"S[0,14,3,2]",0.0
"S[0,14,3,3]",0.0
"S[0,14,3,4]",0.0
"S[0,15,0,1]",0.0
"S[0,15,0,2]",0.0
"S[0,15,0,3]",0.0
"S[0,15,0,4]",0.0
"S[0,15,1,1]",0.0
"S[0,15,1,2]",0.0
"S[0,15,1,3]",0.0
"S[0,15,1,4]",0.0
"S[0,15,2,1]",0.0
"S[0,15,2,2]",0.0
"S[0,15,2,3]",0.0
"S[0,15,2,4]",0.0
"S[0,15,3,1]",0.0
"S[0,15,3,2]",0.0
"S[0,15,3,3]",0.0
"S[0,15,3,4]",0.0
"S[1,0,0,1]",10.0
"S[1,0,0,2]",0.0
"S[1,0,0,3]",0.0
"S[1,0,0,4]",1.0
"S[1,0,1,1]",0.0
"S[1,0,1,2]",0.0
"S[1,0,1,3]",0.0
"S[1,0,1,4]",0.0
"S[1,0,2,1]",29.0
"S[1,0,2,2]",0.0
"S[1,0,2,3]",0.0
"S[1,0,2,4]",0.0
"S[1,0,3,1]",0.0
"S[1,0,3,2]",0.0
"S[1,0,3,3]",0.0
"S[1,0,3,4]",0.0
"S[1,1,0,1]",0.0
"S[1,1,0,2]",0.0
"S[1,1,0,3]",0.0
"S[1,1,0,4]",0.0
"S[1,1,1,1]",0.0
"S[1,1,1,2]",0.0
"S[1,1,1,3]",0.0
"S[1,1,1,4]",0.0
"S[1,1,2,1]",0.0
"S[1,1,2,2]",0.0
"S[1,1,2,3]",0.0
"S[1,1,2,4]",0.0
"S[1,1,3,1]",0.0
"S[1,1,3,2]",0.0
"S[1,1,3,3]",0.0
"S[1,1,3,4]",0.0
"S[1,2,0,1]",0.0
"S[1,2,0,2]",0.0
"S[1,2,0,3]",0.0
"S[1,2,0,4]",0.0
"S[1,2,1,1]",0.0
"S[1,2,1,2]",0.0
"S[1,2,1,3]",0.0
"S[1,2,1,4]",0.0
"S[1,2,2,1]",0.0
"S[1,2,2,2]",0.0
"S[1,2,2,3]",0.0
"S[1,2,2,4]",0.0
"S[1,2,3,1]",0.0
"S[1,2,3,2]",0.0
"S[1,2,3,3]",0.0
"S[1,2,3,4]",0.0
"S[1,3,0,1]",0.0
"S[1,3,0,2]",0.0
"S[1,3,0,3]",0.0
"S[1,3,0,4]",0.0
"S[1,3,1,1]",0.0
"S[1,3,1,2]",0.0
"S[1,3,1,3]",0.0
"S[1,3,1,4]",0.0
"S[1,3,2,1]",0.0
"S[1,3,2,2]",0.0
"S[1,3,2,3]",0.0
"S[1,3,2,4]",0.0
"S[1,3,3,1]",0.0
"S[1,3,3,2]",0.0
"S[1,3,3,3]",0.0
"S[1,3,3,4]",0.0
"S[1,4,0,1]",0.0
"S[1,4,0,2]",0.0
"S[1,4,0,3]",0.0
"S[1,4,0,4]",0.0
"S[1,4,1,1]",0.0
"S[1,4,1,2]",0.0
"S[1,4,1,3]",0.0
"S[1,4,1,4]",0.0
"S[1,4,2,1]",0.0
"S[1,4,2,2]",0.0
"S[1,4,2,3]",0.0
"S[1,4,2,4]",0.0
"S[1,4,3,1]",0.0
"S[1,4,3,2]",0.0
"S[1,4,3,3]",0.0
"S[1,4,3,4]",0.0
"S[1,5,0,1]",0.0
"S[1,5,0,2]",0.0
"S[1,5,0,3]",0.0
"S[1,5,0,4]",0.0
"S[1,5,1,1]",0.0
"S[1,5,1,2]",0.0
"S[1,5,1,3]",0.0
"S[1,5,1,4]",0.0
"S[1,5,2,1]",0.0
"S[1,5,2,2]",0.0
"S[1,5,2,3]",0.0
"S[1,5,2,4]",0.0
"S[1,5,3,1]",0.0
"S[1,5,3,2]",0.0
"S[1,5,3,3]",0.0
"S[1,5,3,4]",0.0
"S[1,6,0,1]",0.0
"S[1,6,0,2]",0.0
"S[1,6,0,3]",0.0
"S[1,6,0,4]",0.0
"S[1,6,1,1]",0.0
"S[1,6,1,2]",0.0
"S[1,6,1,3]",0.0
"S[1,6,1,4]",0.0
"S[1,6,2,1]",0.0
"S[1,6,2,2]",0.0
"S[1,6,2,3]",0.0
"S[1,6,2,4]",0.0
"S[1,6,3,1]",0.0
"S[1,6,3,2]",0.0
"S[1,6,3,3]",0.0
"S[1,6,3,4]",0.0
"S[1,7,0,1]",0.0
"S[1,7,0,2]",0.0
"S[1,7,0,3]",0.0
"S[1,7,0,4]",0.0
"S[1,7,1,1]",0.0
"S[1,7,1,2]",0.0
"S[1,7,1,3]",0.0
"S[1,7,1,4]",0.0
"S[1,7,2,1]",0.0
"S[1,7,2,2]",0.0
"S[1,7,2,3]",0.0
"S[1,7,2,4]",0.0
"S[1,7,3,1]",0.0
"S[1,7,3,2]",0.0
"S[1,7,3,3]",0.0
"S[1,7,3,4]",0.0
"S[1,8,0,1]",0.0
"S[1,8,0,2]",0.0
"S[1,8,0,3]",0.0
"S[1,8,0,4]",0.0
"S[1,8,1,1]",0.0
"S[1,8,1,2]",0.0
"S[1,8,1,3]",0.0
"S[1,8,1,4]",0.0
"S[1,8,2,1]",0.0
"S[1,8,2,2]",0.0
"S[1,8,2,3]",0.0
"S[1,8,2,4]",0.0
"S[1,8,3,1]",0.0
"S[1,8,3,2]",0.0
"S[1,8,3,3]",0.0
"S[1,8,3,4]",0.0
"S[1,9,0,1]",0.0
"S[1,9,0,2]",0.0
"S[1,9,0,3]",0.0
"S[1,9,0,4]",0.0
"S[1,9,1,1]",0.0
"S[1,9,1,2]",0.0
"S[1,9,1,3]",0.0
"S[1,9,1,4]",0.0
"S[1,9,2,1]",0.0
"S[1,9,2,2]",0.0
"S[1,9,2,3]",0.0
"S[1,9,2,4]",0.0
"S[1,9,3,1]",0.0
"S[1,9,3,2]",0.0
"S[1,9,3,3]",0.0
"S[1,9,3,4]",0.0
"S[1,10,0,1]",0.0
"S[1,10,0,2]",0.0
"S[1,10,0,3]",0.0
"S[1,10,0,4]",0.0
"S[1,10,1,1]",0.0
"S[1,10,1,2]",0.0
"S[1,10,1,3]",0.0
"S[1,10,1,4]",0.0
"S[1,10,2,1]",0.0
"S[1,10,2,2]",0.0
"S[1,10,2,3]",0.0
"S[1,10,2,4]",0.0
"S[1,10,3,1]",0.0
"S[1,10,3,2]",0.0
"S[1,10,3,3]",0.0
"S[1,10,3,4]",0.0
"S[1,11,0,1]",0.0
"S[1,11,0,2]",0.0
"S[1,11,0,3]",0.0
"S[1,11,0,4]",0.0
"S[1,11,1,1]",0.0
"S[1,11,1,2]",0.0
"S[1,11,1,3]",0.0
"S[1,11,1,4]",0.0
"S[1,11,2,1]",0.0
"S[1,11,2,2]",0.0
"S[1,11,2,3]",0.0
"S[1,11,2,4]",0.0
"S[1,11,3,1]",0.0
"S[1,11,3,2]",0.0
"S[1,11,3,3]",0.0
"S[1,11,3,4]",0.0
"S[1,12,0,1]",0.0
"S[1,12,0,2]",0.0
"S[1,12,0,3]",0.0
"S[1,12,0,4]",0.0
"S[1,12,1,1]",0.0
"S[1,12,1,2]",0.0
"S[1,12,1,3]",0.0
"S[1,12,1,4]",0.0
"S[1,12,2,1]",0.0
"S[1,12,2,2]",0.0
"S[1,12,2,3]",0.0
"S[1,12,2,4]",0.0
"S[1,12,3,1]",0.0
"S[1,12,3,2]",0.0
"S[1,12,3,3]",0.0
"S[1,12,3,4]",0.0
"S[1,13,0,1]",0.0
"S[1,13,0,2]",0.0
"S[1,13,0,3]",0.0
"S[1,13,0,4]",0.0
"S[1,13,1,1]",0.0
"S[1,13,1,2]",0.0
"S[1,13,1,3]",0.0
"S[1,13,1,4]",0.0
"S[1,13,2,1]",0.0
"S[1,13,2,2]",0.0
"S[1,13,2,3]",0.0
"S[1,13,2,4]",0.0
"S[1,13,3,1]",0.0
"S[1,13,3,2]",0.0
"S[1,13,3,3]",0.0
"S[1,13,3,4]",0.0
"S[1,14,0,1]",0.0
"S[1,14,0,2]",0.0
"S[1,14,0,3]",0.0
"S[1,14,0,4]",0.0
"S[1,14,1,1]",0.0
"S[1,14,1,2]",0.0
"S[1,14,1,3]",0.0
"S[1,14,1,4]",0.0
"S[1,14,2,1]",0.0
"S[1,14,2,2]",0.0
"S[1,14,2,3]",0.0
"S[1,14,2,4]",0.0
"S[1,14,3,1]",0.0
"S[1,14,3,2]",0.0
"S[1,14,3,3]",0.0
"S[1,14,3,4]",0.0
"S[1,15,0,1]",0.0
"S[1,15,0,2]",0.0
"S[1,15,0,3]",0.0
"S[1,15,0,4]",0.0
"S[1,15,1,1]",0.0
"S[1,15,1,2]",0.0
"S[1,15,1,3]",0.0
"S[1,15,1,4]",0.0
"S[1,15,2,1]",0.0
"S[1,15,2,2]",0.0
"S[1,15,2,3]",0.0
"S[1,15,2,4]",0.0
"S[1,15,3,1]",0.0
"S[1,15,3,2]",0.0
"S[1,15,3,3]",0.0
"S[1,15,3,4]",0.0
"S[2,0,0,1]",7.0
"S[2,0,0,2]",0.0
"S[2,0,0,3]",0.0
"S[2,0,0,4]",0.0
"S[2,0,1,1]",2.0
"S[2,0,1,2]",0.0
"S[2,0,1,3]",0.0
"S[2,0,1,4]",0.0
"S[2,0,2,1]",23.0
"S[2,0,2,2]",0.0
"S[2,0,2,3]",0.0
"S[2,0,2,4]",0.0
"S[2,0,3,1]",5.0
"S[2,0,3,2]",0.0
"S[2,0,3,3]",0.0
"S[2,0,3,4]",4.0
"S[2,1,0,1]",0.0
"S[2,1,0,2]",0.0
"S[2,1,0,3]",0.0
"S[2,1,0,4]",0.0
"S[2,1,1,1]",0.0
"S[2,1,1,2]",0.0
"S[2,1,1,3]",0.0
"S[2,1,1,4]",0.0
"S[2,1,2,1]",0.0
"S[2,1,2,2]",0.0
"S[2,1,2,3]",0.0
"S[2,1,2,4]",0.0
"S[2,1,3,1]",0.0
"S[2,1,3,2]",0.0
"S[2,1,3,3]",0.0
"S[2,1,3,4]",0.0
"S[2,2,0,1]",0.0
"S[2,2,0,2]",0.0
"S[2,2,0,3]",0.0
"S[2,2,0,4]",0.0
"S[2,2,1,1]",0.0
"S[2,2,1,2]",0.0
"S[2,2,1,3]",0.0
"S[2,2,1,4]",0.0
"S[2,2,2,1]",0.0
"S[2,2,2,2]",0.0
"S[2,2,2,3]",0.0
"S[2,2,2,4]",0.0
"S[2,2,3,1]",0.0
"S[2,2,3,2]",0.0
"S[2,2,3,3]",0.0
"S[2,2,3,4]",0.0
"S[2,3,0,1]",0.0
"S[2,3,0,2]",0.0
"S[2,3,0,3]",0.0
"S[2,3,0,4]",0.0
"S[2,3,1,1]",0.0
"S[2,3,1,2]",0.0
"S[2,3,1,3]",0.0
"S[2,3,1,4]",0.0
"S[2,3,2,1]",0.0
"S[2,3,2,2]",0.0
"S[2,3,2,3]",0.0
"S[2,3,2,4]",0.0
"S[2,3,3,1]",0.0
"S[2,3,3,2]",0.0
"S[2,3,3,3]",0.0
"S[2,3,3,4]",0.0
"S[2,4,0,1]",0.0
"S[2,4,0,2]",0.0
"S[2,4,0,3]",0.0
"S[2,4,0,4]",0.0
"S[2,4,1,1]",0.0
"S[2,4,1,2]",0.0
"S[2,4,1,3]",0.0
"S[2,4,1,4]",0.0
"S[2,4,2,1]",0.0
"S[2,4,2,2]",0.0
"S[2,4,2,3]",0.0
"S[2,4,2,4]",0.0
"S[2,4,3,1]",0.0
"S[2,4,3,2]",0.0
"S[2,4,3,3]",0.0
"S[2,4,3,4]",0.0
"S[2,5,0,1]",0.0
"S[2,5,0,2]",0.0
"S[2,5,0,3]",0.0
"S[2,5,0,4]",0.0
"S[2,5,1,1]",0.0
"S[2,5,1,2]",0.0
"S[2,5,1,3]",0.0
"S[2,5,1,4]",0.0
"S[2,5,2,1]",0.0
"S[2,5,2,2]",0.0
"S[2,5,2,3]",0.0
"S[2,5,2,4]",0.0
"S[2,5,3,1]",0.0
"S[2,5,3,2]",0.0
"S[2,5,3,3]",0.0
"S[2,5,3,4]",0.0
"S[2,6,0,1]",0.0
"S[2,6,0,2]",0.0
"S[2,6,0,3]",0.0
"S[2,6,0,4]",0.0
"S[2,6,1,1]",0.0
"S[2,6,1,2]",0.0
"S[2,6,1,3]",0.0
"S[2,6,1,4]",0.0
"S[2,6,2,1]",0.0
"S[2,6,2,2]",0.0
"S[2,6,2,3]",0.0
"S[2,6,2,4]",0.0
"S[2,6,3,1]",0.0
"S[2,6,3,2]",0.0
"S[2,6,3,3]",0.0
"S[2,6,3,4]",0.0
"S[2,7,0,1]",0.0
"S[2,7,0,2]",0.0
"S[2,7,0,3]",0.0
"S[2,7,0,4]",0.0
"S[2,7,1,1]",0.0
"S[2,7,1,2]",0.0
"S[2,7,1,3]",0.0
"S[2,7,1,4]",0.0
"S[2,7,2,1]",0.0
"S[2,7,2,2]",0.0
"S[2,7,2,3]",0.0
"S[2,7,2,4]",0.0
"S[2,7,3,1]",0.0
"S[2,7,3,2]",0.0
"S[2,7,3,3]",0.0
"S[2,7,3,4]",0.0
"S[2,8,0,1]",0.0
"S[2,8,0,2]",0.0
"S[2,8,0,3]",0.0
"S[2,8,0,4]",0.0
"S[2,8,1,1]",0.0
"S[2,8,1,2]",0.0
"S[2,8,1,3]",0.0
"S[2,8,1,4]",0.0
"S[2,8,2,1]",0.0
