Solver_Var,Solver_Value,Year,ID,Num_Vehicles,Type,Fuel,Distance_bucket,Distance_per_vehicle(km),Size,p_year,Ftype,ratio,Demand,Demand_id,age,k,T_val
"P[5,0,2]",22.0,2028,LNG_S1_2028,22,Buy,BioLNG,0,0.0,S1,2028,LNG,1.0,0.0,S1_0_2028,1,2,0
"P[5,1,1]",11.0,2028,LNG_S2_2028,11,Buy,LNG,0,0.0,S2,2028,LNG,1.0,0.0,S2_0_2028,1,1,0
"P[5,2,1]",11.0,2028,LNG_S3_2028,11,Buy,LNG,0,0.0,S3,2028,LNG,1.0,0.0,S3_0_2028,1,1,0
"P[5,2,2]",5.0,2028,LNG_S3_2028,5,Buy,BioLNG,0,0.0,S3,2028,LNG,1.0,0.0,S3_0_2028,1,2,0
"P[5,2,3]",1.0,2028,Diesel_S3_2028,1,Buy,HVO,0,0.0,S3,2028,Diesel,1.0,0.0,S3_0_2028,1,3,0
"P[6,0,2]",10.0,2029,LNG_S1_2029,10,Buy,BioLNG,0,0.0,S1,2029,LNG,1.0,0.0,S1_0_2029,1,2,0
"P[6,1,2]",2.0,2029,LNG_S2_2029,2,Buy,BioLNG,0,0.0,S2,2029,LNG,1.0,0.0,S2_0_2029,1,2,0
"P[6,2,1]",25.0,2029,LNG_S3_2029,25,Buy,LNG,0,0.0,S3,2029,LNG,1.0,0.0,S3_0_2029,1,1,0
"P[6,2,2]",7.0,2029,LNG_S3_2029,7,Buy,BioLNG,0,0.0,S3,2029,LNG,1.0,0.0,S3_0_2029,1,2,0
"P[6,3,1]",2.0,2029,LNG_S4_2029,2,Buy,LNG,0,0.0,S4,2029,LNG,1.0,0.0,S4_0_2029,1,1,0
"P[6,3,2]",6.0,2029,LNG_S4_2029,6,Buy,BioLNG,0,0.0,S4,2029,LNG,1.0,0.0,S4_0_2029,1,2,0
"P[7,0,2]",19.0,2030,LNG_S1_2030,19,Buy,BioLNG,0,0.0,S1,2030,LNG,1.0,0.0,S1_0_2030,1,2,0
"P[7,1,1]",4.0,2030,LNG_S2_2030,4,Buy,LNG,0,0.0,S2,2030,LNG,1.0,0.0,S2_0_2030,1,1,0
"P[7,1,2]",1.0,2030,LNG_S2_2030,1,Buy,BioLNG,0,0.0,S2,2030,LNG,1.0,0.0,S2_0_2030,1,2,0
"P[7,2,1]",24.0,2030,LNG_S3_2030,24,Buy,LNG,0,0.0,S3,2030,LNG,1.0,0.0,S3_0_2030,1,1,0
"P[7,2,2]",2.0,2030,LNG_S3_2030,2,Buy,BioLNG,0,0.0,S3,2030,LNG,1.0,0.0,S3_0_2030,1,2,0
"P[7,3,4]",1.0,2030,Diesel_S4_2030,1,Buy,B20,0,0.0,S4,2030,Diesel,1.0,0.0,S4_0_2030,1,4,0
"P[8,0,2]",1.0,2031,LNG_S1_2031,1,Buy,BioLNG,0,0.0,S1,2031,LNG,1.0,0.0,S1_0_2031,1,2,0
"P[8,1,1]",3.0,2031,LNG_S2_2031,3,Buy,LNG,0,0.0,S2,2031,LNG,1.0,0.0,S2_0_2031,1,1,0
"P[8,1,2]",20.0,2031,LNG_S2_2031,20,Buy,BioLNG,0,0.0,S2,2031,LNG,1.0,0.0,S2_0_2031,1,2,0
"P[8,2,1]",20.0,2031,LNG_S3_2031,20,Buy,LNG,0,0.0,S3,2031,LNG,1.0,0.0,S3_0_2031,1,1,0
"P[8,3,1]",2.0,2031,LNG_S4_2031,2,Buy,LNG,0,0.0,S4,2031,LNG,1.0,0.0,S4_0_2031,1,1,0
"P[8,3,4]",1.0,2031,Diesel_S4_2031,1,Buy,B20,0,0.0,S4,2031,Diesel,1.0,0.0,S4_0_2031,1,4,0
"P[9,0,2]",19.0,2032,LNG_S1_2032,19,Buy,BioLNG,0,0.0,S1,2032,LNG,1.0,0.0,S1_0_2032,1,2,0
"P[9,0,3]",1.0,2032,Diesel_S1_2032,1,Buy,HVO,0,0.0,S1,2032,Diesel,1.0,0.0,S1_0_2032,1,3,0
"P[9,1,2]",11.0,2032,LNG_S2_2032,11,Buy,BioLNG,0,0.0,S2,2032,LNG,1.0,0.0,S2_0_2032,1,2,0
"P[9,2,1]",22.0,2032,LNG_S3_2032,22,Buy,LNG,0,0.0,S3,2032,LNG,1.0,0.0,S3_0_2032,1,1,0
"P[9,2,2]",1.0,2032,LNG_S3_2032,1,Buy,BioLNG,0,0.0,S3,2032,LNG,1.0,0.0,S3_0_2032,1,2,0
"P[9,3,1]",6.0,2032,LNG_S4_2032,6,Buy,LNG,0,0.0,S4,2032,LNG,1.0,0.0,S4_0_2032,1,1,0
"P[10,0,2]",12.0,2033,LNG_S1_2033,12,Buy,BioLNG,0,0.0,S1,2033,LNG,1.0,0.0,S1_0_2033,1,2,0
"P[10,1,2]",3.0,2033,LNG_S2_2033,3,Buy,BioLNG,0,0.0,S2,2033,LNG,1.0,0.0,S2_0_2033,1,2,0
"P[10,2,1]",20.0,2033,LNG_S3_2033,20,Buy,LNG,0,0.0,S3,2033,LNG,1.0,0.0,S3_0_2033,1,1,0
"P[10,2,2]",14.0,2033,LNG_S3_2033,14,Buy,BioLNG,0,0.0,S3,2033,LNG,1.0,0.0,S3_0_2033,1,2,0
"P[10,3,2]",3.0,2033,LNG_S4_2033,3,Buy,BioLNG,0,0.0,S4,2033,LNG,1.0,0.0,S4_0_2033,1,2,0
"P[11,0,2]",21.0,2034,LNG_S1_2034,21,Buy,BioLNG,0,0.0,S1,2034,LNG,1.0,0.0,S1_0_2034,1,2,0
"P[11,1,2]",3.0,2034,LNG_S2_2034,3,Buy,BioLNG,0,0.0,S2,2034,LNG,1.0,0.0,S2_0_2034,1,2,0
"P[11,2,1]",22.0,2034,LNG_S3_2034,22,Buy,LNG,0,0.0,S3,2034,LNG,1.0,0.0,S3_0_2034,1,1,0
"P[11,2,2]",7.0,2034,LNG_S3_2034,7,Buy,BioLNG,0,0.0,S3,2034,LNG,1.0,0.0,S3_0_2034,1,2,0
"P[11,3,2]",3.0,2034,LNG_S4_2034,3,Buy,BioLNG,0,0.0,S4,2034,LNG,1.0,0.0,S4_0_2034,1,2,0
"P[11,3,3]",2.0,2034,Diesel_S4_2034,2,Buy,HVO,0,0.0,S4,2034,Diesel,1.0,0.0,S4_0_2034,1,3,0
"P[12,0,2]",4.0,2035,LNG_S1_2035,4,Buy,BioLNG,0,0.0,S1,2035,LNG,1.0,0.0,S1_0_2035,1,2,0
"P[12,1,2]",26.0,2035,LNG_S2_2035,26,Buy,BioLNG,0,0.0,S2,2035,LNG,1.0,0.0,S2_0_2035,1,2,0
"P[12,2,1]",16.0,2035,LNG_S3_2035,16,Buy,LNG,0,0.0,S3,2035,LNG,1.0,0.0,S3_0_2035,1,1,0
"P[12,2,2]",6.0,2035,LNG_S3_2035,6,Buy,BioLNG,0,0.0,S3,2035,LNG,1.0,0.0,S3_0_2035,1,2,0
"P[12,3,2]",5.0,2035,LNG_S4_2035,5,Buy,BioLNG,0,0.0,S4,2035,LNG,1.0,0.0,S4_0_2035,1,2,0
"P[13,0,2]",24.0,2036,LNG_S1_2036,24,Buy,BioLNG,0,0.0,S1,2036,LNG,1.0,0.0,S1_0_2036,1,2,0
"P[13,1,2]",13.0,2036,LNG_S2_2036,13,Buy,BioLNG,0,0.0,S2,2036,LNG,1.0,0.0,S2_0_2036,1,2,0
"P[13,2,1]",6.0,2036,LNG_S3_2036,6,Buy,LNG,0,0.0,S3,2036,LNG,1.0,0.0,S3_0_2036,1,1,0
"P[13,2,2]",16.0,2036,LNG_S3_2036,16,Buy,BioLNG,0,0.0,S3,2036,LNG,1.0,0.0,S3_0_2036,1,2,0
"P[14,0,2]",13.0,2037,LNG_S1_2037,13,Buy,BioLNG,0,0.0,S1,2037,LNG,1.0,0.0,S1_0_2037,1,2,0
"P[14,1,2]",4.0,2037,LNG_S2_2037,4,Buy,BioLNG,0,0.0,S2,2037,LNG,1.0,0.0,S2_0_2037,1,2,0
"P[14,2,1]",7.0,2037,LNG_S3_2037,7,Buy,LNG,0,0.0,S3,2037,LNG,1.0,0.0,S3_0_2037,1,1,0
"P[14,2,2]",31.0,2037,LNG_S3_2037,31,Buy,BioLNG,0,0.0,S3,2037,LNG,1.0,0.0,S3_0_2037,1,2,0
"P[14,2,4]",1.0,2037,Diesel_S3_2037,1,Buy,B20,0,0.0,S3,2037,Diesel,1.0,0.0,S3_0_2037,1,4,0
"P[14,3,2]",3.0,2037,LNG_S4_2037,3,Buy,BioLNG,0,0.0,S4,2037,LNG,1.0,0.0,S4_0_2037,1,2,0
"P[14,3,3]",1.0,2037,Diesel_S4_2037,1,Buy,HVO,0,0.0,S4,2037,Diesel,1.0,0.0,S4_0_2037,1,3,0
"P[15,0,2]",16.0,2038,LNG_S1_2038,16,Buy,BioLNG,0,0.0,S1,2038,LNG,1.0,0.0,S1_0_2038,1,2,0
"P[15,0,3]",1.0,2038,Diesel_S1_2038,1,Buy,HVO,0,0.0,S1,2038,Diesel,1.0,0.0,S1_0_2038,1,3,0
"P[15,1,2]",2.0,2038,LNG_S2_2038,2,Buy,BioLNG,0,0.0,S2,2038,LNG,1.0,0.0,S2_0_2038,1,2,0
"P[15,1,3]",3.0,2038,Diesel_S2_2038,3,Buy,HVO,0,0.0,S2,2038,Diesel,1.0,0.0,S2_0_2038,1,3,0
"P[15,2,1]",8.0,2038,LNG_S3_2038,8,Buy,LNG,0,0.0,S3,2038,LNG,1.0,0.0,S3_0_2038,1,1,0
"P[15,2,2]",23.0,2038,LNG_S3_2038,23,Buy,BioLNG,0,0.0,S3,2038,LNG,1.0,0.0,S3_0_2038,1,2,0
"P[15,2,3]",2.0,2038,Diesel_S3_2038,2,Buy,HVO,0,0.0,S3,2038,Diesel,1.0,0.0,S3_0_2038,1,3,0
"P[15,3,2]",8.0,2038,LNG_S4_2038,8,Buy,BioLNG,0,0.0,S4,2038,LNG,1.0,0.0,S4_0_2038,1,2,0
"P[15,3,3]",2.0,2038,Diesel_S4_2038,2,Buy,HVO,0,0.0,S4,2038,Diesel,1.0,0.0,S4_0_2038,1,3,0
"S[0,0,0,1]",17.0,2023,LNG_S1_2023,17,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2023,1,1,0
"S[0,0,1,1]",8.0,2023,LNG_S2_2023,8,Sell,LNG,0,0.0,S2,2023,LNG,1.0,0.0,S2_0_2023,1,1,0
"S[0,0,1,4]",1.0,2023,Diesel_S2_2023,1,Sell,B20,0,0.0,S2,2023,Diesel,1.0,0.0,S2_0_2023,1,4,0
"S[0,0,2,1]",11.0,2023,LNG_S3_2023,11,Sell,LNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2023,1,1,0
"S[0,0,3,1]",2.0,2023,LNG_S4_2023,2,Sell,LNG,0,0.0,S4,2023,LNG,1.0,0.0,S4_0_2023,1,1,0
"S[1,0,0,1]",10.0,2024,LNG_S1_2023,10,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2024,2,1,0
"S[1,0,0,4]",1.0,2024,Diesel_S1_2023,1,Sell,B20,0,0.0,S1,2023,Diesel,1.0,0.0,S1_0_2024,2,4,0
"S[1,0,2,1]",29.0,2024,LNG_S3_2023,29,Sell,LNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2024,2,1,0
"S[2,0,0,1]",7.0,2025,LNG_S1_2023,7,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2025,3,1,0
"S[2,0,1,1]",2.0,2025,LNG_S2_2023,2,Sell,LNG,0,0.0,S2,2023,LNG,1.0,0.0,S2_0_2025,3,1,0
"S[2,0,2,1]",23.0,2025,LNG_S3_2023,23,Sell,LNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2025,3,1,0
"S[2,0,3,1]",5.0,2025,LNG_S4_2023,5,Sell,LNG,0,0.0,S4,2023,LNG,1.0,0.0,S4_0_2025,3,1,0
"S[2,0,3,4]",4.0,2025,Diesel_S4_2023,4,Sell,B20,0,0.0,S4,2023,Diesel,1.0,0.0,S4_0_2025,3,4,0
"S[3,0,0,1]",3.0,2026,LNG_S1_2023,3,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2026,4,1,0
"S[3,0,1,1]",20.0,2026,LNG_S2_2023,20,Sell,LNG,0,0.0,S2,2023,LNG,1.0,0.0,S2_0_2026,4,1,0
"S[3,0,1,4]",1.0,2026,Diesel_S2_2023,1,Sell,B20,0,0.0,S2,2023,Diesel,1.0,0.0,S2_0_2026,4,4,0
"S[3,0,2,1]",15.0,2026,LNG_S3_2023,15,Sell,LNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2026,4,1,0
"S[3,0,2,4]",1.0,2026,Diesel_S3_2023,1,Sell,B20,0,0.0,S3,2023,Diesel,1.0,0.0,S3_0_2026,4,4,0
"S[3,1,3,1]",2.0,2026,LNG_S4_2024,2,Sell,LNG,0,0.0,S4,2024,LNG,1.0,0.0,S4_0_2026,3,1,0
"S[4,0,0,1]",18.0,2027,LNG_S1_2023,18,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2027,5,1,0
"S[4,0,1,4]",1.0,2027,Diesel_S2_2023,1,Sell,B20,0,0.0,S2,2023,Diesel,1.0,0.0,S2_0_2027,5,4,0
"S[4,1,1,1]",9.0,2027,LNG_S2_2024,9,Sell,LNG,0,0.0,S2,2024,LNG,1.0,0.0,S2_0_2027,4,1,0
"S[4,1,2,1]",13.0,2027,LNG_S3_2024,13,Sell,LNG,0,0.0,S3,2024,LNG,1.0,0.0,S3_0_2027,4,1,0
"S[4,2,2,1]",2.0,2027,LNG_S3_2025,2,Sell,LNG,0,0.0,S3,2025,LNG,1.0,0.0,S3_0_2027,3,1,0
"S[5,1,0,1]",9.0,2028,LNG_S1_2024,9,Sell,LNG,0,0.0,S1,2024,LNG,1.0,0.0,S1_0_2028,5,1,0
"S[5,2,2,1]",28.0,2028,LNG_S3_2025,28,Sell,LNG,0,0.0,S3,2025,LNG,1.0,0.0,S3_0_2028,4,1,0
"S[5,3,3,1]",6.0,2028,LNG_S4_2026,6,Sell,LNG,0,0.0,S4,2026,LNG,1.0,0.0,S4_0_2028,3,1,0
"S[5,4,3,1]",2.0,2028,LNG_S4_2027,2,Sell,LNG,0,0.0,S4,2027,LNG,1.0,0.0,S4_0_2028,2,1,0
"S[6,2,0,1]",7.0,2029,LNG_S1_2025,7,Sell,LNG,0,0.0,S1,2025,LNG,1.0,0.0,S1_0_2029,5,1,0
"S[6,2,1,1]",1.0,2029,LNG_S2_2025,1,Sell,LNG,0,0.0,S2,2025,LNG,1.0,0.0,S2_0_2029,5,1,0
"S[6,3,0,1]",7.0,2029,LNG_S1_2026,7,Sell,LNG,0,0.0,S1,2026,LNG,1.0,0.0,S1_0_2029,4,1,0
"S[6,3,1,1]",2.0,2029,LNG_S2_2026,2,Sell,LNG,0,0.0,S2,2026,LNG,1.0,0.0,S2_0_2029,4,1,0
"S[6,3,2,1]",25.0,2029,LNG_S3_2026,25,Sell,LNG,0,0.0,S3,2026,LNG,1.0,0.0,S3_0_2029,4,1,0
"S[6,3,2,3]",1.0,2029,Diesel_S3_2026,1,Sell,HVO,0,0.0,S3,2026,Diesel,1.0,0.0,S3_0_2029,4,3,0
"S[6,3,3,4]",1.0,2029,Diesel_S4_2026,1,Sell,B20,0,0.0,S4,2026,Diesel,1.0,0.0,S4_0_2029,4,4,0
"S[6,4,1,1]",2.0,2029,LNG_S2_2027,2,Sell,LNG,0,0.0,S2,2027,LNG,1.0,0.0,S2_0_2029,3,1,0
"S[7,0,0,1]",1.0,2030,LNG_S1_2023,1,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2030,8,1,0
"S[7,0,1,2]",1.0,2030,LNG_S2_2023,1,Sell,BioLNG,0,0.0,S2,2023,LNG,1.0,0.0,S2_0_2030,8,2,0
"S[7,0,2,2]",1.0,2030,LNG_S3_2023,1,Sell,BioLNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2030,8,2,0
"S[7,3,0,1]",1.0,2030,LNG_S1_2026,1,Sell,LNG,0,0.0,S1,2026,LNG,1.0,0.0,S1_0_2030,5,1,0
"S[7,3,3,4]",2.0,2030,Diesel_S4_2026,2,Sell,B20,0,0.0,S4,2026,Diesel,1.0,0.0,S4_0_2030,5,4,0
"S[7,4,1,1]",20.0,2030,LNG_S2_2027,20,Sell,LNG,0,0.0,S2,2027,LNG,1.0,0.0,S2_0_2030,4,1,0
"S[7,4,2,1]",18.0,2030,LNG_S3_2027,18,Sell,LNG,0,0.0,S3,2027,LNG,1.0,0.0,S3_0_2030,4,1,0
"S[7,4,3,1]",1.0,2030,LNG_S4_2027,1,Sell,LNG,0,0.0,S4,2027,LNG,1.0,0.0,S4_0_2030,4,1,0
"S[7,5,1,1]",2.0,2030,LNG_S2_2028,2,Sell,LNG,0,0.0,S2,2028,LNG,1.0,0.0,S2_0_2030,3,1,0
"S[8,0,0,1]",14.0,2031,LNG_S1_2023,14,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2031,9,1,0
"S[8,0,2,4]",1.0,2031,Diesel_S3_2023,1,Sell,B20,0,0.0,S3,2023,Diesel,1.0,0.0,S3_0_2031,9,4,0
"S[8,5,1,1]",9.0,2031,LNG_S2_2028,9,Sell,LNG,0,0.0,S2,2028,LNG,1.0,0.0,S2_0_2031,4,1,0
"S[8,5,2,1]",11.0,2031,LNG_S3_2028,11,Sell,LNG,0,0.0,S3,2028,LNG,1.0,0.0,S3_0_2031,4,1,0
"S[8,5,2,2]",5.0,2031,LNG_S3_2028,5,Sell,BioLNG,0,0.0,S3,2028,LNG,1.0,0.0,S3_0_2031,4,2,0
"S[8,6,2,2]",2.0,2031,LNG_S3_2029,2,Sell,BioLNG,0,0.0,S3,2029,LNG,1.0,0.0,S3_0_2031,3,2,0
"S[8,6,3,1]",1.0,2031,LNG_S4_2029,1,Sell,LNG,0,0.0,S4,2029,LNG,1.0,0.0,S4_0_2031,3,1,0
"S[8,6,3,2]",4.0,2031,LNG_S4_2029,4,Sell,BioLNG,0,0.0,S4,2029,LNG,1.0,0.0,S4_0_2031,3,2,0
"S[9,0,0,1]",2.0,2032,LNG_S1_2023,2,Sell,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2032,10,1,0
"S[9,1,0,1]",9.0,2032,LNG_S1_2024,9,Sell,LNG,0,0.0,S1,2024,LNG,1.0,0.0,S1_0_2032,9,1,0
"S[9,5,0,2]",2.0,2032,LNG_S1_2028,2,Sell,BioLNG,0,0.0,S1,2028,LNG,1.0,0.0,S1_0_2032,5,2,0
"S[9,5,2,3]",1.0,2032,Diesel_S3_2028,1,Sell,HVO,0,0.0,S3,2028,Diesel,1.0,0.0,S3_0_2032,5,3,0
"S[9,6,1,2]",2.0,2032,LNG_S2_2029,2,Sell,BioLNG,0,0.0,S2,2029,LNG,1.0,0.0,S2_0_2032,4,2,0
"S[9,6,2,1]",25.0,2032,LNG_S3_2029,25,Sell,LNG,0,0.0,S3,2029,LNG,1.0,0.0,S3_0_2032,4,1,0
"S[9,6,2,2]",5.0,2032,LNG_S3_2029,5,Sell,BioLNG,0,0.0,S3,2029,LNG,1.0,0.0,S3_0_2032,4,2,0
"S[9,6,3,1]",1.0,2032,LNG_S4_2029,1,Sell,LNG,0,0.0,S4,2029,LNG,1.0,0.0,S4_0_2032,4,1,0
"S[9,6,3,2]",2.0,2032,LNG_S4_2029,2,Sell,BioLNG,0,0.0,S4,2029,LNG,1.0,0.0,S4_0_2032,4,2,0
"S[9,7,2,2]",1.0,2032,LNG_S3_2030,1,Sell,BioLNG,0,0.0,S3,2030,LNG,1.0,0.0,S3_0_2032,3,2,0
"S[10,2,0,1]",6.0,2033,LNG_S1_2025,6,Sell,LNG,0,0.0,S1,2025,LNG,1.0,0.0,S1_0_2033,9,1,0
"S[10,5,0,2]",11.0,2033,LNG_S1_2028,11,Sell,BioLNG,0,0.0,S1,2028,LNG,1.0,0.0,S1_0_2033,6,2,0
"S[10,7,1,1]",2.0,2033,LNG_S2_2030,2,Sell,LNG,0,0.0,S2,2030,LNG,1.0,0.0,S2_0_2033,4,1,0
"S[10,7,2,1]",24.0,2033,LNG_S3_2030,24,Sell,LNG,0,0.0,S3,2030,LNG,1.0,0.0,S3_0_2033,4,1,0
"S[10,7,2,2]",1.0,2033,LNG_S3_2030,1,Sell,BioLNG,0,0.0,S3,2030,LNG,1.0,0.0,S3_0_2033,4,2,0
"S[10,7,3,4]",1.0,2033,Diesel_S4_2030,1,Sell,B20,0,0.0,S4,2030,Diesel,1.0,0.0,S4_0_2033,4,4,0
"S[10,8,2,1]",1.0,2033,LNG_S3_2031,1,Sell,LNG,0,0.0,S3,2031,LNG,1.0,0.0,S3_0_2033,3,1,0
"S[10,8,3,1]",2.0,2033,LNG_S4_2031,2,Sell,LNG,0,0.0,S4,2031,LNG,1.0,0.0,S4_0_2033,3,1,0
"S[10,9,3,1]",2.0,2033,LNG_S4_2032,2,Sell,LNG,0,0.0,S4,2032,LNG,1.0,0.0,S4_0_2033,2,1,0
"S[11,3,0,1]",1.0,2034,LNG_S1_2026,1,Sell,LNG,0,0.0,S1,2026,LNG,1.0,0.0,S1_0_2034,9,1,0
"S[11,4,0,1]",3.0,2034,LNG_S1_2027,3,Sell,LNG,0,0.0,S1,2027,LNG,1.0,0.0,S1_0_2034,8,1,0
"S[11,7,1,1]",1.0,2034,LNG_S2_2030,1,Sell,LNG,0,0.0,S2,2030,LNG,1.0,0.0,S2_0_2034,5,1,0
"S[11,7,1,2]",1.0,2034,LNG_S2_2030,1,Sell,BioLNG,0,0.0,S2,2030,LNG,1.0,0.0,S2_0_2034,5,2,0
"S[11,8,1,1]",3.0,2034,LNG_S2_2031,3,Sell,LNG,0,0.0,S2,2031,LNG,1.0,0.0,S2_0_2034,4,1,0
"S[11,8,1,2]",20.0,2034,LNG_S2_2031,20,Sell,BioLNG,0,0.0,S2,2031,LNG,1.0,0.0,S2_0_2034,4,2,0
"S[11,8,2,1]",19.0,2034,LNG_S3_2031,19,Sell,LNG,0,0.0,S3,2031,LNG,1.0,0.0,S3_0_2034,4,1,0
"S[11,9,3,1]",4.0,2034,LNG_S4_2032,4,Sell,LNG,0,0.0,S4,2032,LNG,1.0,0.0,S4_0_2034,3,1,0
"S[12,4,0,2]",3.0,2035,LNG_S1_2027,3,Sell,BioLNG,0,0.0,S1,2027,LNG,1.0,0.0,S1_0_2035,9,2,0
"S[12,9,0,2]",18.0,2035,LNG_S1_2032,18,Sell,BioLNG,0,0.0,S1,2032,LNG,1.0,0.0,S1_0_2035,4,2,0
"S[12,9,1,2]",11.0,2035,LNG_S2_2032,11,Sell,BioLNG,0,0.0,S2,2032,LNG,1.0,0.0,S2_0_2035,4,2,0
"S[12,9,2,1]",20.0,2035,LNG_S3_2032,20,Sell,LNG,0,0.0,S3,2032,LNG,1.0,0.0,S3_0_2035,4,1,0
"S[12,9,2,2]",1.0,2035,LNG_S3_2032,1,Sell,BioLNG,0,0.0,S3,2032,LNG,1.0,0.0,S3_0_2035,4,2,0
"S[13,5,0,2]",9.0,2036,LNG_S1_2028,9,Sell,BioLNG,0,0.0,S1,2028,LNG,1.0,0.0,S1_0_2036,9,2,0
